"stage","permian","formation","member","lithology","environment"
"F1c","Artinskian","Permian 2","Buffel","Fairyland","siliciclastic","coastal indet."
"F2c","Artinskian","Permian 2","Buffel","Fairyland","siliciclastic","coastal indet."
"F3c","Artinskian","Permian 2","Buffel","Fairyland","siliciclastic","coastal indet."
"F4c","Artinskian","Permian 2","Buffel","Fairyland","siliciclastic","coastal indet."
"F5c","Artinskian","Permian 2","Buffel","Fairyland","siliciclastic","coastal indet."
"F6c","Artinskian","Permian 2","Buffel","Fairyland","siliciclastic","coastal indet."
"F8c","Artinskian","Permian 2","Buffel","Fairyland","siliciclastic","coastal indet."
"F9c","Artinskian","Permian 2","Buffel","Fairyland","siliciclastic","coastal indet."
"F10c","Artinskian","Permian 2","Buffel","Fairyland","siliciclastic","coastal indet."
"F11c","Artinskian","Permian 2","Buffel","Fairyland","siliciclastic","coastal indet."
"F12c","Artinskian","Permian 2","Buffel","Fairyland","siliciclastic","coastal indet."
"F13c","Artinskian","Permian 2","Buffel","Fairyland","siliciclastic","coastal indet."
"F14c","Artinskian","Permian 2","Buffel","Fairyland","siliciclastic","coastal indet."
"D1os","Artinskian","Permian 2","Buffel","Dresden","limestone","open shallow subtidal"
"D2os","Artinskian","Permian 2","Buffel","Dresden","limestone","open shallow subtidal"
"D3os","Artinskian","Permian 2","Buffel","Dresden","limestone","open shallow subtidal"
"D4os","Artinskian","Permian 2","Buffel","Dresden","limestone","open shallow subtidal"
"D5os","Artinskian","Permian 2","Buffel","Dresden","limestone","open shallow subtidal"
"D1m","Artinskian","Permian 2","Buffel","Dresden","siliciclastic","marine indet."
"D2m","Artinskian","Permian 2","Buffel","Dresden","limestone","marine indet."
"D3m","Artinskian","Permian 2","Buffel","Dresden","limestone","marine indet."
"D4m","Artinskian","Permian 2","Buffel","Dresden","limestone","marine indet."
"D5m","Artinskian","Permian 2","Buffel","Dresden","limestone","marine indet."
"D6m","Artinskian","Permian 2","Buffel","Dresden","limestone","marine indet."
"D7m","Artinskian","Permian 2","Buffel","Dresden","limestone","marine indet."
"D8os","Artinskian","Permian 2","Buffel","Dresden","limestone","marine indet."
"D9m","Artinskian","Permian 2","Buffel","Dresden","limestone","open shallow subtidal"
"E1os","Artinskian","Permian 2","Buffel","Elvinia","limestone","open shallow subtidal"
"E2c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E3c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E4c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E5c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E6c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E7c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E8c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E9c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E10c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E11c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E12c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E13c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E14c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E15c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E16c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E17c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E18c","Artinskian","Permian 2","Buffel","Elvinia","limestone","coastal indet."
"E19c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E20c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E21c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E22c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E23c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"E24c","Artinskian","Permian 2","Buffel","Elvinia","siltstone","coastal indet."
"Rp1f","Artinskian","Permian 2","Buffel","Rose's Pride","conglomerate","foreshore"
"Rp3f","Artinskian","Permian 2","Buffel","Rose's Pride","conglomerate","foreshore"
"Rp4f","Artinskian","Permian 2","Buffel","Rose's Pride","conglomerate","foreshore"
"Rp7f","Artinskian","Permian 2","Buffel","Rose's Pride","conglomerate","foreshore"
"Rp8f","Artinskian","Permian 2","Buffel","Rose's Pride","conglomerate","foreshore"
"Rp9f","Artinskian","Permian 2","Buffel","Rose's Pride","conglomerate","foreshore"
"Rp10f","Artinskian","Permian 2","Buffel","Rose's Pride","conglomerate","foreshore"
"Rp11f","Artinskian","Permian 2","Buffel","Rose's Pride","conglomerate","foreshore"
"Rp12f","Artinskian","Permian 2","Buffel","Rose's Pride","sandstone","foreshore"